Name,City,State,Contact Number Primary,Contact Number Secondary,Search parameter
Bhalji Pendharkar Cultural Centre,Kolhapur,Maharashtra,2312665043,9423857156,Auditoriums
Vishalakshi Banquet Hall,Ranchi,Jharkhand,9431707142,8051063089,Auditoriums
U P Sangeet Natak Academy,Lucknow,Uttar Pradesh,5222300023,2300050,Auditoriums
Prabodhankar Thackeray Natya Mandir,Mumbai,Maharashtra,2228951468,28929333,Auditoriums
Auda Muskan Park,Ahmedabad,Gujarat,7965133993,,Auditoriums
Kasturi Ranga Mandhira,Bangalore,Karnataka,8039558189,,Auditoriums
Jadhigal Mellisai Team,Chennai,Tamil Nadu,9840120825,,Auditoriums
Arkay Convention Centre,Chennai,Tamil Nadu,4433045353,,Auditoriums
Lakshmi S Shetty Community Hall,Mysore,Karnataka,8212566210,,Auditoriums
Nungambakkam Cultural Academy Trust,Chennai,Tamil Nadu,4424834823,24805050,Auditoriums
Natrani Amphitheatre,Ahmedabad,Gujarat,7927551389,27556669,Auditoriums
Rishi Associates,Lucknow,Uttar Pradesh,9616779147,,Auditoriums
